131,May It Please the Hamster
132,The Mess B-Team
133,Drago/TTM/DBC
134,Up, Up, and Away
135,Only in the Mo'nin
136,Wigs Jacked For Jesus
137,Future Meme Accountant Cats
138,Bad in Plaid
139,Pervy Staches
140,Don't Care Bears
141,Hipster pigs in space
142,Serenity Now
143,Rice Krispy Treats
144,The Savoy Big Five
145,Team Wack Arnolds
146,Miss-Carriage
147,Tachycartia
148,Ballsmodels
149,Happy Endings
150,The IT Crowd
151,Swamp People
152,It's always sunny in the Chi
153,SnOOki MuShMUsH
154,Booze Hounds
155,Couch-Dawgs
156,Stone Fox
157,Newsies
158,Tony's Angels
159,The Rockford Peaches
160,Boozin Away Hunger
161,Team 1
162,Most Awkward Situation at a Party
163,Beaded Broads
164,The Clownarounds
165,Vatos Locos!
166,Team Discovery
167,Skipper and Her Sisters
168,The Roller Rinkettes
169,BLIZZARD WATCH 2012--still waiting.
170,Cityview Presbyterian Church
171,The WPO
172,Winn(t)ers
173,Babes in Soyland
174,Dead Celebrities
175,Theta Xi
176,Street Sharks
177,Abra Cadavers 
178,WCR F YES!
179,Sheriff's Department!
180,We want more beer; Trix are for kids
181,Wild Card
182,Inter-Galactic Federation of Chiditaranians
183,Shadynasty
184,CARMEN SANDIEGO WAS IN SAN DIEGO ALL ALONG!
185,George
186,Chi Fringe Warriors
187,Seeds of the Poisoned Apple
188,The Bluth Company
189,The CHAMBions
190,Coles Merken
191,The Breakfast Club Wannabes
192,BrownSugarMacDaddys
193,Back To the Future
194,MARIOZSK
195,Honey Badger Don't Give A Shit
196,Preparation HGH
197,The Chubby Weiners
198,Cart Consultants
199,heartless bastards
300,Atlantic City Roads Committee
301,The Sandy Claws Kidnappers
302,The Derailers
303,Team Honorable Mention
304,Gentleman (g)'s Photography Studio (and Definitely Not a Speakeasy)
305,Hobo-Q IV
306,Extreme Awesomeness
307,Action-Squad
308,Miss Houston, We Have a Problem
309,3 Girls, a 'Stache, and a Tail, 6th ed.
310,The Heathers
311,BOZO's Circus
312,El-coholics
313,Dudestorm
314,Area III All-Stars 1
315,Area III All-Stars 3
316,Area III All-Stars 2
317,Jackie Treehorn and His Magnificant Orchestra of Doom
318,FREAK-A-CHRISTMAS
319,Champions of Breakfast
320,CJ Ownz
321,Global Guts
322,Evil
323,Good
324,The Team formerly known as the Majestic Unicorns
325,Dances With Bulls
326,Sparkle Dust
327,Shopping Kart 5K Ski Club
328,NAIL
329,The Bums Will Always Lose
330,Jeff Totsch: This is Your Life
331,OccupySesameSt
332,Men in tights
333,The Halstedians
334,ones who knock
335,The Hard Day's Knights
336,Gybe Ho's featuring Ronnie Milsap
337,Polymeracers
338,Team Awesome
339,Tarantino 
340,Kill Bill Volume 1
341,Wieners
342,1%ers
343,Glitter Girls
344,Are You Serious Clark?
345,Shark Week 1 
346,Shopping Kart 5K Ski Club - 2
347,Get a Clue
348,Here We Go
349,Sofa-King Awesome!
350,The Jesuits
351,Spit, Semen and Men
352,Chidiots
353,everything American and more
354,Last Call
355,Rainbow Bright
356,Banana Phone
357,Team Sky
358,Team Ohre
359,Tough Mushers
360,WCR DOMINATION
361,Not A Clue
362,Flying Carp are a Menace
363,P.L.U.R.
364,Ol' Ladies
365,SAMCRO
366,Toddlers & Tiaras
367,Team Aero
368,The Claw
369,Team Whitney
370,Shark Week 2
371,Are We Having Fun Yet?
372,woo doo woo doo doo jerry jerry jerry...jerry west slap tab dome sloan obin slob jerry scam
373,HMS Paula Deen
374,Heads will roll
375,Shopping Cart of Emotion
376,Team Drew
377,SMOREGASM
378,The Wood Brothers
379,Miami Homicide
380,poopchunk millionaires
381,Monkey Businass
382,Every Breath You Take
383,Sleaze Patrol
384,Space Balls
385,Vermicious Knid 
386,Friends of McDonaldsland
387,Saved by the Balls
388,Kingdom of Caring
389,TAMFSoBDtFAoB-RAME(NRtNFMa/oM): America Chapter
390,Forrest Cart
